TRACT ,Estimated Median Family Income,Less Than High School,High School ,Some College ,College Graduate ,Graduate School ,Educational Attainment Score,% of Single Parent Households ,% of Owner Occupied Homes ,% of Population Speaking a Language Other than English ,Weighted Average NWEA Performance at Attendance Area Schools ,Number of School Age Children ,Estimated Median Family Income Cumulative Percentage ,Educational Attainment Score Cumulative Percentage ,% of Single Parent Households Cumulative Percentage ,% of Owner Occupied Homes Cumulative Percentage ,% of Population Speaking a Language Other than English Cumulative Percentage ,Weighted Average NWEA Performance at Attendance Area Schools Cumulative Percentage ,6-Factor Socioeconomic Score ,6-Factor Socioeconomic Tier
319,"$100,660.00",168,155,426,634,461,0.7155,20.14%,40.57%,24.39%,63.08%,242,90.39%,90.50%,82.11%,44.63%,60.90%,87.76%,0.7605,4
321,"$72,126.00",641,845,856,2518,1782,0.7191,28.79%,30.36%,24.07%,52.49%,539,78.85%,90.68%,69.43%,19.00%,61.32%,60.79%,0.6334,3
401,"$64,551.00",382,475,570,770,490,0.638,12.28%,45.61%,32.19%,61.94%,524,72.96%,83.31%,92.95%,55.34%,54.16%,85.29%,0.74,4
402.01,"$72,125.00",623,666,885,1873,719,0.6587,25.38%,39.00%,41.25%,55.63%,759,78.72%,85.93%,75.03%,41.39%,45.72%,72.90%,0.6662,4
402.02,"$48,188.00",1087,996,1177,1526,467,0.573,27.97%,37.91%,60.79%,61.84%,1021,53.56%,72.34%,71.56%,37.29%,33.73%,84.75%,0.5887,3
403,"$85,964.00",242,368,426,672,535,0.6794,12.03%,60.82%,55.28%,60.52%,469,86.39%,87.77%,93.05%,77.03%,37.42%,82.71%,0.774,4
404.01,"$65,999.00",234,139,430,722,719,0.7384,14.58%,48.99%,29.64%,59.23%,454,74.70%,91.71%,90.10%,61.28%,56.81%,80.47%,0.7584,4
404.02,"$87,666.00",376,216,403,1417,941,0.739,32.06%,33.28%,21.51%,51.57%,472,87.45%,92.08%,62.98%,26.31%,63.49%,56.00%,0.6472,4
406,"$97,767.00",105,107,307,700,584,0.772,19.07%,27.61%,26.06%,54.08%,256,89.44%,94.46%,84.28%,13.46%,58.94%,67.88%,0.6808,4
407,"$116,492.00",190,311,438,813,672,0.721,19.21%,43.03%,34.97%,67.19%,368,92.90%,90.81%,83.86%,50.40%,52.08%,92.99%,0.7717,4
408,"$88,498.00",100,82,212,461,309,0.7369,10.19%,41.50%,10.54%,67.19%,132,87.75%,91.46%,94.62%,46.88%,70.92%,93.02%,0.8077,4
409,"$106,005.00",89,140,250,480,467,0.7537,11.21%,29.53%,21.57%,58.17%,208,92.18%,92.81%,93.91%,17.03%,63.29%,78.64%,0.7298,4
501,"$118,404.00",44,144,220,837,337,0.7617,3.07%,35.59%,14.84%,68.09%,246,93.34%,93.56%,98.75%,31.94%,68.56%,93.48%,0.7994,4
502,"$131,983.00",404,495,746,1049,818,0.6787,14.97%,45.39%,33.09%,69.94%,720,94.94%,87.61%,89.64%,54.77%,53.39%,94.35%,0.7912,4
503,"$100,299.00",47,400,416,658,347,0.6919,12.77%,50.17%,19.69%,68.72%,380,90.27%,89.29%,92.45%,62.74%,64.46%,93.94%,0.8219,4
505,"$121,076.00",102,431,547,1388,1035,0.7612,16.95%,45.51%,13.82%,71.40%,886,93.82%,93.50%,88.36%,54.98%,69.40%,96.22%,0.8271,4
506,"$103,548.00",68,155,233,765,341,0.748,15.44%,50.53%,10.00%,70.92%,234,91.61%,92.38%,89.25%,63.41%,71.37%,95.38%,0.839,4
507,"$169,438.00",44,60,99,407,271,0.7818,23.60%,63.01%,9.96%,69.45%,156,98.14%,95.36%,77.92%,78.94%,71.41%,94.19%,0.8599,4
